CustomerName	CreditLimit
Terrans	1885
Chasen	3278
Dabel	9534
Langdridge	4923
Fetterplace	3682
Levesque	6792
Chastagnier	5166
Denisard	4738
MacCracken	8385
Rodge	9074
Fruin	1545
Dowman	5892
Batteson	3866
McGlue	2381
Frenchum	3677
Worters	4492
Godbold	1067
Stears	2554
Joselson	7588
Marryatt	2309
Pittway	2274
Widd	6856
Fink	4800
Edwicke	5148
Danilewicz	4178
Sarah	6683
Madine	6309
Prendergrast	2277
Fielders	7728
Siemianowicz	5898
Wohler	7271
Lenoir	5620
Aizikovitz	3404
Battram	1125
Heritege	1504
Ludwig	7752
Cowans	7232
Dufore	8776
Kilbride	2183
Cowndley	1005
Metherell	4602
Matyasik	5417
Hammon	1294
Munroe	4115
Wolfers	8902
Bronger	8786
Smedmoor	6843
Postan	5588
Martello	9076
Haithwaite	2005
Sterland	1810
de Pinna	2042
MacGillivrie	2224
Found	5755
Sagar	9026
Lamb-shine	7549
Rosenstock	9833
Backshall	6239
Kerrane	3781
Laherty	8628
Sofe	6924
Goudy	4423
Khan	5250
Castilljo	7516
Hallick	8556
Dury	7173
Goodale	1865
Naldrett	4965
Rhodus	1575
Whitely	5184
Neillans	8936
Brimner	7411
Goodboddy	6748
Behnen	8043
Penreth	2820
Patnelli	7221
Harome	5070
Shera	6677
Semeniuk	10000
Cubbit	3754
Orans	5533
Peery	7817
Statter	1253
Johnston	6286
Rosberg	8113
Pitbladdo	3449
Trustie	1137
Piser	3792
Water	2659
Baumler	2614
Heining	3500
Linwood	9867
Pearde	7514
Yve	6931
Bangiard	6261
Smithin	8236
Bohills	2003
Murr	2025
Josefsen	2773
Passman	5623
Micallef	6248
Jiran	4460
Domel	4907
Dudin	8518
Gurling	7034
Heatly	9912
Andrivel	1483
Rutt	4460
Brahmer	5226
Chart	4572
Sivyer	9042
Pennicard	7212
Rowsell	2756
Jackalin	9710
Lohmeyer	6087
McCaghan	2466
Pohl	7137
Cossam	3501
Bote	1281
Grogona	1136
Dalbey	9291
Gosdin	8118
Capitano	4006
Critcher	6001
Suttell	4520
