CustomerName	OrderDate	OrderValue
Hallede	2022-03-27T13:16:27Z	557.12
Fright	2022-04-11T03:18:17Z	452.93
Dashwood	2022-10-07T23:03:16Z	997.86
Inwood	2021-06-20T06:49:05Z	612.42
Curran	2021-02-28T02:03:50Z	866.25
Schmidt	2022-07-31T19:17:46Z	159.86
Russi	2022-12-02T12:15:29Z	510.16
Karlowicz	2022-08-12T21:04:08Z	917.0
Plaide	2023-06-21T08:53:02Z	485.09
Langridge	2023-06-07T17:16:46Z	749.05
Tchaikovsky	2023-08-04T15:49:48Z	917.39
Mussettini	2022-09-03T08:17:58Z	446.48
Haddick	2022-01-18T08:58:20Z	306.67
Chasle	2022-02-02T00:24:46Z	84.02
Malling	2021-08-19T07:34:26Z	120.29
Demeter	2023-07-23T10:35:04Z	135.25
Episcopio	2023-02-28T10:37:10Z	216.79
MacFaul	2023-01-07T00:23:10Z	716.81
MacQueen	2022-12-25T18:39:27Z	322.22
Mussettini	2022-07-20T19:28:35Z	367.74
Chern	2020-12-29T11:36:44Z	14.36
Malling	2022-07-11T12:16:36Z	528.1
Alesin	2021-01-21T09:33:27Z	465.24
Walton	2021-08-19T14:17:12Z	655.88
Rustman	2021-08-27T23:23:02Z	464.99
Pratton	2022-02-21T07:19:33Z	677.83
Heaslip	2021-01-23T08:35:03Z	449.71
Harbottle	2021-01-19T16:30:49Z	472.7
Mussettini	2023-07-23T07:00:38Z	64.48
Mound	2022-03-12T09:18:13Z	503.41
Collyer	2022-04-30T23:31:56Z	799.2
Creamer	2023-06-02T06:16:53Z	584.7
Hollington	2022-08-12T15:26:10Z	303.06
Dormer	2021-05-10T22:56:28Z	103.42
Malling	2021-10-31T16:03:01Z	105.71
Dreschler	2022-06-13T15:48:36Z	259.11
Spawforth	2022-10-10T07:28:04Z	636.95
Solley	2022-07-06T19:48:11Z	220.31
Lehrmann	2023-02-24T17:35:17Z	914.64
Worvell	2023-09-08T09:07:18Z	887.38
Hartin	2023-10-02T14:02:33Z	397.72
Garcia	2023-07-28T14:59:59Z	838.37
Lehrmann	2022-08-06T00:31:03Z	325.91
Alesin	2021-02-20T23:30:44Z	195.29
O' Gara	2022-10-16T18:57:06Z	856.25
Boffin	2021-09-30T15:27:38Z	736.62
MacFaul	2023-05-06T07:16:42Z	732.52
Rewan	2021-09-12T08:20:16Z	468.68
Pentin	2021-08-05T19:28:43Z	47.05
Dugget	2023-04-19T05:09:17Z	761.61
Robertazzi	2021-09-10T18:10:16Z	391.69
Wakefield	2022-02-15T11:24:37Z	599.3
Wake	2023-10-25T13:45:04Z	170.42
Zanassi	2023-03-13T01:24:34Z	323.22
Girardini	2021-06-16T06:48:35Z	294.86
Tabour	2023-04-03T16:32:58Z	323.34
Tchaikovsky	2023-04-10T16:51:57Z	344.18
Roarty	2021-05-29T05:17:48Z	592.66
Brophy	2023-10-23T19:58:17Z	32.93
Croson	2022-08-16T22:45:01Z	999.39
Schmidt	2021-03-09T18:01:37Z	108.0
Ruppert	2021-09-09T06:14:04Z	150.1
Karlowicz	2023-07-14T10:38:05Z	424.09
Batterbee	2021-03-02T13:16:28Z	20.19
Clemitt	2022-05-12T07:04:34Z	431.24
Mordy	2023-10-31T05:06:56Z	228.3
Renneke	2023-05-01T05:02:46Z	892.27
Terlinden	2023-08-30T17:47:58Z	846.25
McOwan	2021-03-10T11:52:33Z	168.66
